City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Ushuaia,AR,2021-09-19 03:01:47,-54.8,-68.3,36.41,88,52,4.47
59,Arraial Do Cabo,BR,2021-09-19 03:05:25,-22.9661,-42.0278,70.21,90,7,6.98
60,La Romana,DO,2021-09-19 03:05:25,18.4273,-68.9728,82.13,100,40,0.0
61,Vaini,TO,2021-09-19 03:05:25,-21.2,-175.2,73.56,83,75,14.97
62,Ribeira Grande,PT,2021-09-19 03:05:25,38.5167,-28.7,68.02,69,68,6.51
63,Katsuura,JP,2021-09-19 03:04:14,35.1333,140.3,80.71,66,94,25.55
64,Taft,IR,2021-09-19 03:05:26,31.7471,54.2088,66.15,16,0,4.61
65,Sabang,ID,2021-09-19 03:05:26,5.8933,95.3214,81.86,71,100,10.38
66,Puerto Ayora,EC,2021-09-19 03:05:26,-0.7393,-90.3518,69.55,92,35,7.0
67,Sobolevo,RU,2021-09-19 03:05:27,54.4299,31.8996,42.26,94,100,17.92
68,Komsomolskiy,UZ,2021-09-19 03:05:27,40.4272,71.7189,74.12,25,0,9.22
69,Barrow,US,2021-09-19 03:05:27,71.2906,-156.7887,35.62,87,90,10.36
70,Leningradskiy,RU,2021-09-19 03:05:28,69.3833,178.4167,28.2,84,93,19.53
71,Naryan-Mar,RU,2021-09-19 03:05:28,67.6713,53.087,38.1,74,100,16.78
72,Port Elizabeth,ZA,2021-09-19 03:05:28,-33.918,25.5701,52.11,76,14,12.68
73,Araioses,BR,2021-09-19 03:05:28,-2.89,-41.9031,79.5,78,89,11.48
74,Lorengau,PG,2021-09-19 03:05:29,-2.0226,147.2712,84.16,73,83,7.74
75,Cape Town,ZA,2021-09-19 03:05:29,-33.9258,18.4232,58.1,84,90,8.99
76,Saint-Philippe,RE,2021-09-19 03:05:29,-21.3585,55.7679,67.55,72,96,16.46
77,Tilichiki,RU,2021-09-19 03:05:30,60.4667,166.1,52.18,60,88,3.58
78,Nome,US,2021-09-19 03:05:30,64.5011,-165.4064,47.16,76,90,12.66
79,Valdivia,CL,2021-09-19 03:00:31,-39.8142,-73.2459,40.64,94,10,1.23
80,Saskylakh,RU,2021-09-19 03:05:30,71.9167,114.0833,30.88,82,37,3.69
81,Sao Joao Da Barra,BR,2021-09-19 03:05:30,-21.6403,-41.0511,72.86,88,7,5.77
82,Byron Bay,AU,2021-09-19 03:05:31,-28.65,153.6167,78.91,70,59,10.8
83,La Primavera,CO,2021-09-19 03:05:31,5.4906,-70.4092,76.03,86,94,2.39
84,Ketchikan,US,2021-09-19 03:05:31,55.3422,-131.6461,52.27,100,90,0.0
85,Ust-Barguzin,RU,2021-09-19 03:05:32,53.45,108.9833,58.62,57,75,5.7
86,Hambantota,LK,2021-09-19 03:05:32,6.1241,81.1185,82.74,89,20,5.75
87,Norman Wells,CA,2021-09-19 03:05:32,65.282,-126.8329,45.43,81,99,8.12
88,Grand Gaube,MU,2021-09-19 03:05:32,-20.0064,57.6608,70.38,82,87,5.01
89,Yibin,CN,2021-09-19 03:05:33,28.7667,104.6238,70.05,85,100,8.1
90,Porto Novo,BJ,2021-09-19 03:05:33,6.4965,2.6036,75.63,91,72,4.63
91,Provideniya,RU,2021-09-19 03:05:33,64.3833,-173.3,47.34,81,10,5.5
92,Neiafu,TO,2021-09-19 03:05:34,-18.65,-173.9833,83.08,74,40,10.36
93,Talnakh,RU,2021-09-19 03:05:34,69.4865,88.3972,40.95,97,100,4.16
94,Visby,SE,2021-09-19 03:05:34,57.6409,18.296,50.95,81,31,6.91
95,Humaita,BR,2021-09-19 03:05:34,-7.5061,-63.0208,72.82,95,69,2.71
96,Nemuro,JP,2021-09-19 03:05:35,43.3236,145.575,61.47,85,89,9.62
97,Hasaki,JP,2021-09-19 03:05:35,35.7333,140.8333,77.4,67,98,24.9
98,Huarmey,PE,2021-09-19 03:05:35,-10.0681,-78.1522,62.04,84,87,8.37
99,Rapar,IN,2021-09-19 03:05:35,23.5667,70.6333,82.96,77,99,10.04
100,Ambon,ID,2021-09-19 03:05:36,-3.6954,128.1814,89.74,58,20,3.44
101,Kupang,ID,2021-09-19 03:05:36,-10.1667,123.5833,90.18,45,20,20.71
102,Noumea,NC,2021-09-19 03:05:36,-22.2763,166.4572,78.78,60,19,21.5
103,Omsukchan,RU,2021-09-19 03:05:36,62.5333,155.8,44.31,89,100,7.2
104,Kologriv,RU,2021-09-19 03:05:37,58.8275,44.3178,29.64,97,10,4.7
105,Bonavista,CA,2021-09-19 03:05:37,48.6499,-53.1147,61.12,94,82,15.75
106,Pionerskiy,RU,2021-09-19 03:05:37,54.9508,20.2275,48.04,73,11,20.13
107,Pyaozerskiy,RU,2021-09-19 03:05:38,65.8333,31.1667,40.57,78,100,3.4
108,Nantucket,US,2021-09-19 03:03:17,41.2835,-70.0995,68.97,94,1,10.0
109,Esperance,AU,2021-09-19 03:05:38,-33.8667,121.9,60.64,83,97,16.75
110,Tura,IN,2021-09-19 03:05:38,25.5198,90.2201,77.9,90,25,4.21
111,Kailua,US,2021-09-19 03:05:38,21.4022,-157.7394,85.98,66,20,12.66
112,Mar Del Plata,AR,2021-09-19 03:05:39,-38.0023,-57.5575,51.82,100,90,6.91
113,Vardo,NO,2021-09-19 03:05:39,70.3705,31.1107,43.5,77,4,20.65
114,Boa Vista,BR,2021-09-19 03:05:39,2.8197,-60.6733,80.58,78,40,5.75
115,Naze,JP,2021-09-19 03:05:40,28.3667,129.4833,79.95,66,10,3.91
116,Watsa,CD,2021-09-19 03:05:40,3.0372,29.5355,63.39,99,100,3.69
117,Kandy,LK,2021-09-19 03:05:40,7.2955,80.6356,79.77,66,100,2.37
118,Batagay,RU,2021-09-19 03:05:40,67.6333,134.6333,32.2,89,100,6.11
119,At-Bashi,KG,2021-09-19 03:05:41,41.1702,75.8106,63.43,30,0,1.5
120,Pundaguitan,PH,2021-09-19 03:05:41,6.3711,126.1689,82.83,73,66,3.22
121,Acapulco,MX,2021-09-19 03:05:41,16.8634,-99.8901,78.49,85,100,2.33
122,Moron,AR,2021-09-19 03:05:41,-34.6534,-58.6198,61.02,94,0,3.0
123,Fairbanks,US,2021-09-19 03:05:42,64.8378,-147.7164,44.56,57,90,3.0
